城市,城区,商圈,小区名,房源详情url,房型(三室两厅),房屋面积,成交总价(万元),成交周期(天数),朝向,装修状况,电梯情况,楼层,房屋年代/楼体结构,房屋描述（房屋满五年|距8号线安德里北街971米）,单价,成交日期,成交总价(万元),房屋来源,挂牌日期,状态(在售|成交)
广州,荔湾,花地湾,怡芳苑,http://esf.gz.fang.com/chushou/3_223868526.htm,2室1厅1卫,64平米,220,,东南,精装修,有,低层,1999年,房型结构：框架结构，采光通风，全明层单边位。装修情况：业主自住带精装修。产权状况：业主产权清晰，本人已实地检查与查册无误。两房一厅一厨一卫一阳台,34375元/平米,,,房天下,2018-04-13,在售
广州,荔湾,花地湾,河花苑,http://esf.gz.fang.com/chushou/3_226487115.htm,2室1厅1卫,65平米,70,,南,精装修,有,中层,2000年,卖点1、客厅宽敞大气，厅出阳台，视野开阔!				卖点2、交通便利，公交站就在门口！				卖点3、带简单装修提包入住，看房方便，我有钥匙！				卖点4、真实图片实景拍摄，绝不会用假照片吸引您！,10769元/平米,,,房天下,2018-06-07,在售
广州,荔湾,花地湾,乐怡居,http://esf.gz.fang.com/chushou/3_227069242.htm,2室2厅1卫,81平米,255,,东,精装修,有,低层,2000年,1：正规房，方向好，通风采光都很充足2：室内有装修，基本跟一下手尾就可以入住了3：客厅宽敞、大方、使用　　4：卧室温馨舒适、搭配舒服5：环境优雅，也相对安静,31481元/平米,,,房天下,2018-06-20,在售
广州,荔湾,花地湾,河花苑,http://esf.gz.fang.com/chushou/3_227195261.htm,3室2厅2卫,90平米,140,,南北,精装修,有,低层,2013年,1.客厅宽敞、大方、使用。2.卧室温馨舒适，搭配心怡。3.厨房设施齐全，让美味来的更加轻松4.交通：，高速旁，有公交5.周边配套成熟：医院，邮局，银行，足球场，游泳池6.周边配套：幼儿园、、运动休闲、商务休闲。,15556元/平米,,,房天下,2018-06-23,在售
广州,荔湾,花地湾,芳村大道东小区,http://esf.gz.fang.com/chushou/3_227253871.htm,2室1厅1卫,70平米,165,,东南,精装修,无,中层,2000年,核心卖点 1、[房型正气]：卧室朝南，厅朝北，厨房卫生间朝北，全明户型，格局合理，景观楼层，，目前这只有一套在售的好一房。2、[装修情况]：精装修，房东两年装修，直接拎包入住，家具家电全送。3、[房屋位置]：小区，不临马路，采光视野。,23571元/平米,,,房天下,2018-06-25,在售
广州,荔湾,花地湾,花地湾招村社区,http://esf.gz.fang.com/chushou/3_227102275.htm,2室2厅2卫,68平米,120,,南,精装修,有,中层,2010年,1.客厅宽敞大气，方方正正，厅出阳台，视野开阔，房间光线好，实用。2.带豪华装修，随时即买即入住。3.交通便利，公交车站就在门口。4.本人实拍图片视频，绝无半点虚假.5.业主保养良好。6.房子证过两年，无其他占用，产权清晰，随时可以交易售房。,17647元/平米,,,房天下,2018-06-21,在售
广州,荔湾,花地湾,花地湾招村社区,http://esf.gz.fang.com/chushou/3_227103748.htm,3室2厅2卫,90平米,150,,南,精装修,有,中层,2010年,1，位置开阔，安静舒适，明卫明厨，业主，房子保养很干净，如果要求不高，可以省掉二次装修费用！ 2，户型佳，标准开间（客厅开阔，尽显主气稳重之社交魅力） 3，客厅—宽逸的大客厅、大主卧设计，是主人尊贵感、自豪感，成就感的体现 4，此房是业主以前买的一手项目，现在出售的话家居包含在里面。 5，产权清晰，无按揭贷款，无债务纠纷，已核实，可以随时交易，请放心*！6，采光好，全天8小.时采光，每天都能沉浸着阳光的全明格局，视野开阔，通风效果好！,16667元/平米,,,房天下,2018-06-21,在售
广州,荔湾,花地湾,红棉苑,http://esf.gz.fang.com/chushou/3_227150207.htm,3室2厅1卫,88平米,250,,东南,精装修,无,中层,1997年,———————————铖安信地产：只发———————————【铖安信地产：彭浩达 为您服务】本人是专业做芳村区区域二手房 广佛周边一手房，你大可说说您的购房条件，我一定会帮你找到称心如意的房。有购房需求直接致电或加联系有更多精选房源推介给阁下,28409元/平米,,,房天下,2018-06-22,在售
广州,荔湾,花地湾,芳村大道东小区,http://esf.gz.fang.com/chushou/3_227251876.htm,2室2厅1卫,76.32平米,145,,南北,简装修,有,中层,1999年,●●●小区简介●●●芳村大道东路小区。因为房子数量少，登记出售的房子数量更少，所以注定了它的低调，但它的环境可以说是周围十几个楼盘棒的！可谓春有百花秋有月，夏有凉风冬有雪。无论您看后是否选择，但是它一定会给您留下深刻的印象！在喧嚣的都市中找到属于自己的那份恬静，享受低调的奢华！★★★房屋介绍★★★标准的户型：2室2厅1厨1卫1阳台（可参看户型图），全明格局。此房自从业主买后从未住过，相当于二手房的价格买了新房！■■■适合人群■■■注重生活品质，享受生活，作风低调的成功人士；适合家庭：三口之家，三代同堂。〓〓〓保值分析〓〓〓价值取决于不可替代性，物以稀为贵!芳村大道东路小区的一切设计都是围绕适合这个核心车位：500，家家有景的景观设计，与众不同的空调设计，且本小区内没有出租的，仅有出租的也不超过3%，九成以上的业主都是自己。它的这些不可替代的特点决定了它的品质，也注定了它的价值；随着华贸的东扩，城市的飞速发展，在未来的五到十年内，芳村大道东路小区注定将被更多的有识之士所了解认可，现在能够有机会拥有这样的房子，确实是一件可遇而不可求的事情，得之，我幸！不要犹豫，走进揭开它的面纱，解答你的疑惑。▲▲▲购买理由▲▲▲1。楼层虽低但无遮挡采光好 2。业主已做好随时出手准备，价格很大，也是相当不错的选择！3。买后从未住过，二手房的价格买新房。4.空调入户无外挂机。◆◆◆选择我的理由◆◆◆1.不与业主站在一边搞双簧，坚决和我的客户同仇敌忾2..不胡乱分析市场促成交易，尽量让客户理性判断3.不过多电话造成生活干扰，合理安排时间进行服务4.不单纯只为成交而做成交，把可能存在的各种风险规避到底！看见我的帖子是咱们的缘分，我会用我的努力为您服务，也希望您相信我的实力！本人为 芳村大道东路小区资深置业顾问， 致力于提供专业的二手房服务！,18999元/平米,,,房天下,2018-06-25,在售
广州,荔湾,花地湾,花地湾招村社区,http://esf.gz.fang.com/chushou/3_227153969.htm,2室2厅2卫,68平米,120,,南,精装修,有,中层,2010年,1.客厅宽敞大气，方方正正，厅出阳台，视野开阔，房间光线好，实用。2.带豪华装修，随时即买即入住。3.交通便利，公交车站就在门口。4.本人实拍图片视频，绝无半点虚假.5.业主保养良好。6.房子证过两年，无其他占用，产权清晰，随时可以交易售房。,17647元/平米,,,房天下,2018-06-22,在售
广州,荔湾,花地湾,明桂苑,http://esf.gz.fang.com/chushou/3_224854929.htm,1室1厅1卫,27平米,29,,南,精装修,有,中层,2017年,【南站*未来域】,主力户型为27-50方单间、一房一厅、两房一厅，带装修、带阳台，不限购，长隆、南站、市桥、万博四大商圈环绕，分享数*高铁、长隆、万博CBD客流价值前景！下周开始逐步升价，赶快入手！,10741元/平米,,,房天下,2018-05-04,在售
广州,荔湾,花地湾,怡芳苑,http://esf.gz.fang.com/chushou/3_227114451.htm,2室2厅1卫,77.9平米,280,,南北,精装修,有,中层,1998年,1、房屋介绍：怡芳苑，小区环境优雅，周边各项配套齐全，房子4层,共9层，精装修户型：2室2厅1厨1卫1阳台朝向：南北通透2、满两年，税，好房不等人，需要的客户抓紧时间电话联系我，我会安排好带您看房。3、小区周边配套设施齐全，大型、银行、、菜市场等，交通也便利:离近，有公交车站4、本人承诺此房源信息真实有效，如果此房不是您所理想的房子，我可以帮您推荐其他合适您的房源信息，只要您一个电话，不成交不收费。5、我承诺网络广告价格均为房东所报价格，绝不会出现虑假情况，我愿用我的专业知识为你购置满意温馨的家，我愿用我的专业向你提供关于房产方面的各种咨询！,35944元/平米,,,房天下,2018-06-21,在售
广州,荔湾,花地湾,乐怡居,http://esf.gz.fang.com/chushou/3_223302559.htm,3室2厅2卫,105平米,290,,南北,精装修,有,中层,2002年,小区介绍：乐怡居：地处于花地湾喜鹊路， 总建筑面积:19万平方米。乐怡居是花地湾的一个大型高尚住宅小区， 小区内有前后花园，空气清新，视野广阔。小区4楼以下是金海马家具城，是的花鸟虫鱼。商业气氛浓厚。户型设计为高层洋房，带电梯的三房两厅及两房两厅格局。邻近有站，公交车站，广州酒家，花湾公园，交通娱乐设施便利。物业介绍：现在介绍的是总高33层在16楼的东南向中层望景3房单位，房屋间隔漂亮，通风光线不错，且单价相对市场上其他单位是要低的。产权过五年，无按揭，性价比相当高的单位。错过就很难再出现拉。业主现在没住此单位了，看房需要提前一个钟头约。自我介绍：我从事地产行业约七年， 主要是芳村板块的二手房业务。对芳村的各小区物业布局、价位、产权、各方优缺点等都很了解。熟悉交易各环节如产权检测、计算税费、贷款抵押、过户手续等。熟悉各项政策，能综合根据芳村市场情况和您的需求（问题）来给您至好的建议！愿做您真的置业顾问！更多房源或您有置业的相关疑问请来电或加微信详询！电话：136-1015-0209王生，微信：516692510  ,27619元/平米,,,房天下,2018-03-31,在售
广州,荔湾,花地湾,芳村大道东小区,http://esf.gz.fang.com/chushou/3_223792137.htm,2室1厅1卫,70平米,165,,东南,精装修,无,低层,1996年,核心卖点 芳村大道东小区 步行沙涌口 800米 11号环城线 成熟小区 近沙涌市场 芳村 儿童公园 等 房子 中低层 精装修 静中带旺 通透2房 厅出阳台 南向 免重税,23571元/平米,,,房天下,2018-04-11,在售
广州,荔湾,花地湾,乐怡居,http://esf.gz.fang.com/chushou/3_227147593.htm,2室1厅1卫,76.8平米,268,,东南,精装修,无,中层,2005年,电梯高层原装大两房户型，视野开阔，户型方正，南向采光通风靓，住家装修保养好，厅出阳台,34896元/平米,,,房天下,2018-06-22,在售
广州,荔湾,花地湾,怡芳苑,http://esf.gz.fang.com/chushou/3_223302554.htm,3室2厅2卫,130平米,370,,东南,精装修,有,高层,2004年,小区介绍：怡芳苑位于芳村区，大花园，小区有楼梯和电梯，雍怡雅轩是怡芳苑电梯，2004年建成小区离一号线芳村站步行约7，离大型超市沃尔玛步行3，离市场约6，周边各类配套成熟，该小区带有省一级。是芳村的小区之一。物业介绍：现在介绍的是怡芳苑原装电梯楼，雍怡雅轩。2004年建成。步行至一号线芳村站约7，带合兴苑。有管理有花园！130M，东南向3房带主套，实用率。 3间房全部有10多方，厅宽约4.3M，间隔方正，布局合理，房型大气。装修全屋德国进口实木地板，十年了还如新的一样，无任何变形变色，业主说前后加起来自己住了也没有一年。如下实图实景，阳台外视野开阔，夜晚东南向现习习凉风，所以该物业都没有装空调。业主是一位约80岁的老人家，早年已经移民新加坡，因年岁已大，回国也不多，因不想再打理了而出售。雍怡雅轩一直以来少人出售，3房东南向更是从未见售，所以这类型的单位算是可遇不可求的。 自我介绍：我从事地产行业约七年， 主要是芳村板块的二手房业务。对芳村的各小区物业布局、价位、产权、各方优缺点等都很了解。熟悉交易各环节如产权检测、计算税费、贷款抵押、过户手续等。熟悉各项政策，能综合根据芳村市场情况和您的需求（问题）来给您至好的建议！愿做您真的置业顾问！更多房源或您有置业的相关疑问请来电或加微信详询！电话：136-1015-0209王生，微信：516692510 ,28462元/平米,,,房天下,2018-03-31,在售
广州,荔湾,花地湾,红棉苑北区,http://esf.gz.fang.com/chushou/3_223302552.htm,3室2厅1卫,106平米,350,,南北,精装修,无,低层,2001年,小区介绍：红棉苑是花地大道与花蕾路交界的一个远近闻名的大宅住宅社区。该住宅楼龄约15年（条型砖外墙）该地段周边都是成熟的生活住宅区，它毗近、好又多、麦当劳、东百百货、芳村食街、东海湾酒家等一糸例生活配套设施。内有大型绿化小区，绿化覆盖率50％，区内8BBE有网球场、游泳场、健身器械、溜冰场等设施。楼距开阔并有地下停车场，小区保安严密。一号线花地湾站就在家门口。交通,生活,购物位于一体，是你的置业。物业介绍：现在介绍的是总高9层在3楼的南向中层望花园3房单位，3间房都可以摆1.5以上的床有很多空间剩余，飘窗，两个阳台，房屋间隔很漂亮，通风光线不错，而且单价是低于市场平均价格的，另外这样的布局红棉北区很少放出来的。性价比相当高的单位。错过就很难再出现拉。业主出国急售，看房提前一个钟头约。自我介绍：我从事地产行业约七年， 主要是芳村板块的二手房业务。对芳村的各小区物业布局、价位、产权、各方优缺点等都很了解。熟悉交易各环节如产权检测、计算税费、贷款抵押、过户手续等。熟悉各项政策，能综合根据芳村市场情况和您的需求（问题）来给您至好的建议！愿做您真的置业顾问！更多房源或您有置业的相关疑问请来电或加微信详询！电话：115986442495,33019元/平米,,,房天下,2018-03-31,在售
